player_name,country,years_active,total_lpga_tour_wins,total_let_tour_wins,total_major_wins,times_world_no1,total_weeks_at_no1,cme_globe_championships,runner_ups_in_majors,top_10_in_majors,solheim_cups_played,scoring_average,average_driving_distance_yards,leading_money_list_times,lpga_player_of_year_times,vardon_trophy_equiv_times,rolex_player_of_year_times,career_earnings_million_usd,doping_tests_passed,doping_tests_failed,hall_of_fame_inducted,signature_tournaments_won,seasons_in_top50_world_ranking,wins_across_all_tours,runner_ups_total,avg_putting_strokes_per_round,hole_in_ones,top_5_in_majors,top_3_in_majors,wins_outside_lpga_let,wedge_distance_proximity_feet,strokes_gained_off_tee,strokes_gained_approach,strokes_gained_putting,strokes_gained_tee_to_green,comebacks_from_54_hole_deficit,comebacks_final_round_deficit,notable_awards,retirement_year,coach_name,womens_golf_index,normalized_index
Jin Young Ko,South Korea,9,15,2,2,2,150,2,3,18,0,69.2,255.0,2,1,1,2,11.0,20,0,0,4,5,20,8,28.4,3,12,6,2,19.5,0.7,1.5,0.9,2.4,2,3,4,0,Lee Si-woo,-9.449999999999996,-2.4575455751176754
Cristie Kerr,USA,24,20,1,2,1,5,0,6,27,9,70.7,250.0,0,0,1,0,20.0,20,0,0,3,10,23,15,29.4,3,12,7,2,22.0,0.6,0.9,1.2,1.7,2,3,3,0,Martin Hall,-20.10000000000001,-5.2271604296153775
Suzann Pettersen,Norway,17,15,7,2,0,0,0,6,28,9,70.4,265.0,0,0,0,0,14.8,20,0,0,3,10,23,15,29.4,4,12,7,1,20.5,0.9,1.1,0.5,2.0,3,2,2,2019,Butch Harmon,-32.160000000000004,-8.3634566873846
Ariya Jutanugarn,Thailand,11,12,5,2,2,23,1,3,16,0,69.8,275.0,1,1,1,1,10.5,20,0,0,3,7,20,9,29.1,2,9,6,3,18.0,1.3,1.4,0.7,2.5,3,3,4,0,Gary Gilchrist,-37.350000000000016,-9.7131563207032
Stacy Lewis,USA,13,13,2,2,2,21,0,4,25,5,70.3,255.0,2,1,2,1,14.5,20,0,0,3,8,16,14,29.5,2,10,6,1,21.0,0.6,0.9,0.5,1.8,2,3,3,0,Joe Hallett,-38.249999999999986,-9.94720828023821
Jiyai Shin,South Korea,14,11,2,2,2,25,0,3,20,0,70.3,255.0,1,1,2,1,9.0,20,0,0,3,8,16,9,29.2,2,8,5,2,19.0,0.6,1.0,0.7,1.9,2,3,3,0,Gareth Raflewski,-55.85000000000001,-14.524224377811878
Shanshan Feng,China,15,10,7,1,1,23,0,3,19,0,70.3,255.0,0,0,1,0,11.8,20,0,0,3,8,18,10,29.1,2,10,6,1,22.0,0.8,1.1,0.4,1.9,2,2,3,2022,Gary Gilchrist,-66.71,-17.348451356201075
Lexi Thompson,USA,13,11,1,1,0,0,1,4,19,5,70.5,275.0,0,0,0,0,12.3,20,0,0,2,9,13,12,29.3,3,10,7,1,19.5,1.4,1.1,0.3,2.3,3,3,3,0,Martin Hall,-68.96,-17.933581255038618
Park Sung-Hyun,South Korea,8,7,0,2,2,20,0,2,10,0,70.2,270.0,1,1,1,1,7.5,15,0,0,2,5,10,6,29.1,2,8,5,1,19.0,1.1,1.3,0.4,2.0,2,2,3,0,Caddy Park,-81.0,-21.06467635815151
Paula Creamer,USA,18,10,2,1,0,0,0,4,22,7,70.8,250.0,0,0,0,0,12.0,20,0,0,2,9,13,10,29.8,4,8,5,1,22.5,0.5,0.7,0.4,1.2,2,2,2,0,David Whelan,-82.69999999999999,-21.506774503939873
Nelly Korda,USA,7,8,1,1,1,33,0,2,12,1,69.6,265.0,0,0,1,1,7.0,20,0,0,3,5,10,5,28.6,2,6,4,1,18.5,1.0,1.2,0.6,2.2,2,2,3,0,David Whelan,-85.45000000000002,-22.221933269185765
Ai Miyazato,Japan,12,9,2,0,1,11,0,2,10,0,70.6,245.0,0,0,0,0,8.0,15,0,0,2,6,12,8,29.2,2,5,3,1,23.0,0.3,0.5,0.7,1.2,2,2,2,2017,Guy Wilson,-107.85000000000001,-28.047226484279513
Michelle Wie West,USA,17,5,0,1,0,0,0,3,14,5,70.9,270.0,0,0,0,0,7.0,10,0,0,1,6,6,8,29.4,1,6,3,0,20.5,0.8,0.7,0.3,1.5,2,3,2,2022,David Leadbetter,-114.05000000000001,-29.659584427742963
