player_name,country,years_active,club_appearances,club_goals,club_assists,club_minutes_played,international_caps,international_goals,international_assists,international_minutes_played,club_goal_ratio,international_goal_ratio,fifa_womens_world_cup_titles,continental_titles,league_titles,champions_league_titles,domestic_cup_titles,major_individual_awards,ballon_dor_femin_wins,hat_tricks,penalty_goals,free_kick_goals,red_cards,yellow_cards,man_of_the_match_awards,captaincy_appearances,key_passes_per_game,dribbles_completed_per_game,big_chances_created,pass_accuracy_percent,clean_sheets,tackles_won_per_game,interceptions_per_game,saves_per_game,doping_tests_passed,doping_tests_failed,major_injuries_count,hall_of_fame_inducted,career_earnings_million_usd,total_trophies_won
Tobin Heath,United States,15,220,45,70,18000,164,24,40,16000,0.20454545454545456,0.14634146341463414,1,4,4,1,3,7,0,2,10,15,0,5,35,60,2.4,3.0,100,87.0,0,0.4,0.3,0.0,12,0,2,0,30.0,18
Dzsenifer Marozsán,Germany,15,300,60,80,22000,120,25,35,15000,0.2,0.20833333333333334,1,3,5,2,3,6,0,3,12,8,0,10,30,80,2.6,3.2,110,89.0,0,0.5,0.3,0.0,10,0,3,0,40.0,20
Ada Hegerberg,Norway,11,180,150,40,16000,84,38,20,7000,0.8333333333333334,0.4523809523809524,0,2,3,1,1,5,1,5,20,10,0,5,25,30,1.5,2.5,70,80.0,0,0.1,0.1,0.0,5,0,1,0,50.0,12
Julie Fleeting,Scotland,20,500,300,100,40000,116,46,25,12000,0.6,0.39655172413793105,0,3,5,0,3,6,0,10,25,15,1,10,30,80,1.5,2.0,60,78.0,0,0.2,0.1,0.0,0,0,2,1,15.0,15
Lisa De Vanna,Australia,17,400,200,70,35000,153,57,25,15000,0.5,0.37254901960784315,0,3,4,0,2,5,0,7,20,10,1,10,35,50,1.8,2.5,80,80.0,0,0.3,0.2,0.0,10,0,3,1,25.0,18
Christine Sinclair,Canada,19,400,160,100,34000,294,186,90,25000,0.4,0.6326530612244898,0,3,4,0,2,8,0,10,35,20,0,10,50,250,2.0,2.2,150,85.0,0,0.2,0.1,0.0,18,0,3,0,25.0,15
Nadine Angerer,Germany,19,450,0,10,40000,214,0,5,20000,0.0,0.0,1,4,5,2,3,7,0,0,0,0,0,5,20,100,0.0,0.0,0,85.0,150,0.1,0.1,5.0,10,0,1,1,30.0,20
Christen Press,United States,13,220,100,80,18000,152,61,40,17000,0.45454545454545453,0.40131578947368424,1,4,3,0,2,6,0,5,15,10,1,15,35,80,2.1,2.3,100,83.0,0,0.2,0.1,0.0,8,0,2,0,30.0,15
Saki Kumagai,Japan,16,220,10,40,18000,125,5,20,11000,0.045454545454545456,0.04,1,3,4,1,2,5,0,0,2,5,0,10,20,60,2.0,1.5,60,85.0,0,1.5,1.2,0.0,10,0,2,0,20.0,15
Lauren Holiday,United States,16,300,40,50,25000,160,27,35,16000,0.13333333333333333,0.16875,1,5,3,0,2,6,0,2,10,5,0,10,25,100,1.8,2.0,80,84.0,0,0.3,0.2,0.0,10,0,2,1,25.0,15
Julie Ertz,United States,12,200,25,60,16000,162,16,35,15000,0.125,0.09876543209876543,1,4,2,0,2,5,0,1,8,5,0,8,20,80,2.0,1.5,70,86.0,0,0.4,0.3,0.0,10,0,1,0,20.0,12
