player_name,country,years_active,primary_position,olympic_gold_medals,total_olympic_medals,world_championship_medals,total_international_goals,total_international_assists,total_international_points,total_pro_league_goals,total_pro_league_assists,total_pro_league_points,plus_minus,penalty_minutes,championships_won,mvp_awards,best_forward_awards,best_defenseman_awards,best_goalie_awards,all_star_teams,average_time_on_ice_min,shooting_percentage,faceoff_win_percentage,hits,blocked_shots,doping_tests_passed,doping_tests_failed,hall_of_fame_inducted,teams_played_for,career_saves,career_shutouts,goals_against_average,save_percentage,major_tournament_mvp,notable_awards,retirement_year,coach_name,powerplay_goals,shorthanded_goals,game_winning_goals,career_earnings_million_usd,womens_hockey_index,normalized_index
Natalie Darwitz,USA,11,Forward,0,3,8,70,98,168,25,35,60,0,30,2,1,1,0,0,5,19.5,16.0,40.0,15,10,8,0,0,3,0,0,0.0,0.0,1,3,2010,Mark Johnson,10,3,6,0.02,179.402,45.516174045414175
Kendall Coyne Schofield,USA,10,Forward,1,3,7,60,70,130,40,35,75,0,30,2,1,1,0,0,4,19.0,17.0,30.0,20,15,10,0,0,3,0,0,0.0,0.0,1,3,0,Bob Corkum,12,5,10,0.1,169.21,42.9303564632754
Julie Chu,USA,14,Forward,0,4,9,50,80,130,25,40,65,0,20,2,0,0,0,0,3,18.0,14.0,42.0,10,10,10,0,0,3,0,0,0.0,0.0,0,2,2017,Katey Stone,12,2,6,0.02,161.70200000000003,41.02549790688824
Angela Ruggiero,USA,16,Defense,1,4,10,60,85,145,15,35,50,0,65,2,1,0,2,0,6,25.0,10.0,0.0,40,50,10,0,1,4,0,0,0.0,0.0,1,4,2011,Mark Johnson,5,2,8,0.1,150.96,38.30013954078396
Melodie Daoust,Canada,8,Forward,1,2,5,45,60,105,30,40,70,0,20,2,1,1,0,0,3,18.5,17.0,30.0,15,10,5,0,0,2,0,0,0.0,0.0,1,2,0,Troy Ryan,8,3,6,0.02,146.352,37.13104148166941
Florence Schelling,Switzerland,12,Goalie,0,1,0,0,3,3,0,2,2,0,6,1,1,0,0,1,3,60.0,0.0,0.0,0,0,5,0,0,4,3500,15,2.2,0.925,1,3,2018,Self,0,0,0,0.02,115.807,29.381453761258403
Sarah Nurse,Canada,7,Forward,1,2,4,40,50,90,20,30,50,0,15,1,0,0,0,0,2,18.5,16.0,25.0,15,10,5,0,0,2,0,0,0.0,0.0,0,2,0,Troy Ryan,8,3,6,0.01,114.45100000000001,29.03742230115438
Sara Grahn,Sweden,13,Goalie,0,1,1,0,2,2,0,1,1,0,10,1,0,0,0,1,3,60.0,0.0,0.0,0,0,5,0,0,4,4000,12,2.35,0.92,0,2,0,Ylva Martinsen,0,0,0,0.01,105.911,26.870734491944688
Carla MacLeod,Canada,8,Defense,2,2,4,15,30,45,10,25,35,0,20,2,0,0,1,0,3,22.0,9.0,0.0,15,35,4,0,0,2,0,0,0.0,0.0,0,2,2010,Mel Davidson,5,2,4,0.01,80.05100000000002,20.309780540403402
Tessa Bonhomme,Canada,8,Defense,1,1,4,20,35,55,15,30,45,0,20,2,0,0,1,0,3,22.0,9.0,0.0,20,40,5,0,0,3,0,0,0.0,0.0,0,2,2014,Mel Davidson,8,2,5,0.01,77.40100000000001,19.63744767220601
Manon Rheaume,Canada,9,Goalie,0,0,2,0,2,2,0,1,1,0,4,1,0,0,0,1,2,60.0,0.0,0.0,0,0,5,0,0,4,1200,5,2.5,0.91,0,2,1999,Phil Myre,0,0,0,0.01,52.300999999999995,13.269313713053405
