player_name,country,handedness,playing_style,years_active,highest_world_ranking,world_ranking_history,international_matches_played,international_matches_won,international_matches_lost,international_titles_won,international_title_percentage,olympic_medals,world_championship_titles,world_cup_titles,asian_games_medals,bwf_world_series_titles,bwf_grand_slam_titles,bwf_olympic_titles,bwf_super_series_titles,bwf_world_superseries_championships,bwf_world_cup_titles,bwf_world_series_titles.1,total_points_scored,total_serves,total_volleys,total_smashes,total_dropshots,total_defensive_blocks,total_offensive_blocks,serve_accuracy_percent,return_accuracy_percent,smash_success_rate,dropshot_success_rate,volleys_success_rate,overall_efficiency,offensive_efficiency,defensive_efficiency,reaction_time_ms,serve_receive_efficiency,career_earnings_million_usd,total_trophies_won,best_player_awards,mvp_awards,most_improved_player_awards,sportsmanship_awards,hall_of_fame_inducted,coach_achievements,overall_performance_score,table_tennis_index,normalized_index
Ma Lin,China,Right,All-round,18,1,18,580,560,20,38,65.5,3,4,3,6,0,11,2,15,2,3,0,20500,9200,9800,8300,5100,3550,2450,81.0,83.0,87.0,85.0,86.0,90.0,93.0,84.0,232,83.0,5.8,60,13,11,3,7,1,0,97.5,4538.44,83.39731162542839
Ma Long,China,Right,Offensive,15,1,20,600,580,20,40,80.0,3,5,4,5,0,10,2,12,2,4,0,20000,9000,10000,8000,5000,3500,2500,80.0,82.0,88.0,85.0,85.0,90.0,92.0,85.0,240,82.0,6.0,60,12,10,3,6,1,0,98.0,4519.3,83.04559946342764
Simulated Player B,Country B,Left,Offensive,9,1,12,320,310,10,27,84.4,2,3,3,5,0,11,2,17,3,3,0,18000,8700,9200,8000,5100,3500,2500,85.0,86.0,90.0,88.0,88.0,92.0,95.0,86.0,226,86.0,5.6,70,15,13,4,8,1,0,98.0,4514.280000000001,82.95335311790811
Wang Chuqin,China,Left,Offensive,8,1,12,350,340,10,30,85.7,2,3,3,5,0,10,2,16,3,3,0,18000,8800,9500,8300,5000,3500,2500,85.0,86.0,90.0,88.0,88.0,93.0,95.0,88.0,222,86.0,5.9,68,14,12,4,8,1,0,99.0,4436.295,81.52031900329845
Wang Liqin,China,Right,Offensive,20,1,20,650,600,50,45,69.2,2,3,4,6,0,10,1,13,2,4,0,19000,9000,9500,8000,4800,3400,2300,80.0,82.0,87.0,85.0,85.0,89.0,91.0,83.0,238,81.0,5.2,58,12,10,3,6,1,0,97.0,4412.96,81.09152050276096
Li Qi,China,Right,All-round,7,1,10,320,310,10,28,87.5,1,2,2,4,0,10,1,15,2,2,0,17000,8500,9200,8000,4800,3400,2400,84.0,85.0,90.0,87.0,88.0,92.0,94.0,86.0,229,85.0,5.4,68,15,13,4,8,1,0,98.0,4247.92,78.05878407556115
Simulated Player C,Country C,Right,Defensive,8,1,11,290,280,10,24,82.8,1,2,2,4,0,9,1,15,3,2,0,17500,8400,9100,7900,5000,3400,2400,84.0,85.0,89.0,87.0,87.0,91.0,94.0,85.0,227,85.0,5.4,68,14,13,4,7,1,0,97.5,4178.719999999999,76.78718106561067
Simulated Player A,Country A,Right,Defensive,10,1,11,300,290,10,25,83.3,1,3,2,4,0,10,1,16,3,2,0,17500,8500,9000,7800,5000,3400,2400,84.0,85.0,89.0,86.0,87.0,91.0,94.0,85.0,228,85.0,5.5,65,14,12,3,7,1,0,97.0,4162.675,76.49234189950295
Zhang Jike,China,Right,Offensive,12,1,18,550,530,20,38,76.0,3,4,3,4,0,9,2,11,1,3,0,18000,8500,9000,7500,4500,3200,2200,79.0,80.0,86.0,83.0,83.0,88.0,90.0,82.0,245,80.0,5.5,55,11,9,2,5,1,0,96.0,4112.425,75.56895965600566
Li Ping,China,Left,Defensive,7,1,10,280,270,10,24,85.7,1,2,2,4,0,8,1,15,2,2,0,15500,8000,8600,7500,4300,3200,2100,83.0,84.0,89.0,86.0,86.0,91.0,93.0,85.0,226,85.0,5.0,68,14,12,3,7,1,0,97.5,4074.0499999999997,74.86378963423037
Zhou Qi,China,Right,Defensive,8,1,11,300,290,10,25,83.3,1,2,2,4,0,9,1,14,2,2,0,16000,8200,8800,7600,4500,3300,2200,82.0,84.0,88.0,85.0,85.0,90.0,92.0,84.0,227,84.0,5.1,65,14,12,3,7,1,0,97.0,4044.505,74.32087762658607
Simulated Player D,Country D,Left,Offensive,7,1,10,270,260,10,22,81.5,1,2,2,3,0,8,1,14,3,2,0,16500,8200,8800,7700,4800,3300,2300,83.0,84.0,88.0,85.0,86.0,90.0,93.0,84.0,229,84.0,5.3,66,14,13,4,7,1,0,97.5,4033.314999999999,74.11525280460128
Simulated Player E,Country E,Right,All-round,6,1,9,250,240,10,20,80.0,1,2,2,2,0,7,1,12,3,2,0,16000,8000,8600,7500,4600,3200,2200,82.0,83.0,88.0,84.0,85.0,89.0,92.0,83.0,230,83.0,5.2,63,13,12,4,7,1,0,97.0,3810.56,70.0219590404175
Jan-Ove Waldner,Sweden,Right,All-round,25,1,15,500,450,50,35,70.0,2,3,2,0,0,5,1,8,1,2,0,15000,7000,8000,6000,4000,3000,2000,78.0,80.0,85.0,80.0,82.0,85.0,88.0,80.0,250,80.0,5.0,50,10,8,2,5,1,0,95.0,3516.15,64.61194976065565
